Date,JPM,WFC
2023-01-03,124.9287109375,38.44974899291992
2023-01-04,126.09369659423828,39.241004943847656
2023-01-05,126.06573486328124,39.02939224243164
2023-01-06,128.47808837890625,39.37901306152344
2023-01-09,127.94715118408205,39.00178909301758
2023-01-10,129.09278869628906,38.97418594360352
2023-01-11,130.05213928222656,39.32381439208984
2023-01-12,129.92172241210938,39.406612396240234
2023-01-13,133.20028686523438,40.685516357421875
2023-01-17,131.14187622070312,40.593502044677734
2023-01-18,127.20206451416016,39.91266250610352
2023-01-19,125.50688934326172,39.51702499389648
2023-01-20,125.8142318725586,40.40949249267578
2023-01-23,127.85403442382812,41.4307746887207
2023-01-24,128.9530792236328,40.89712905883789
2023-01-25,129.57713317871094,41.71599578857422
2023-01-26,130.3781280517578,42.14842224121094
2023-01-27,130.69479370117188,42.43364715576172
2023-01-30,129.58644104003906,42.59006118774414
2023-01-31,130.35948181152344,43.12370300292969
2023-02-01,130.014892578125,43.54693603515625
2023-02-02,129.4094696044922,43.73212432861328
2023-02-03,131.4119873046875,44.05620193481445
2023-02-06,132.18504333496094,44.14879608154297
2023-02-07,133.79637145996094,44.565467834472656
2023-02-08,132.8556671142578,44.67658233642578
2023-02-09,130.78793334960938,44.04694366455078
2023-02-10,131.3654327392578,43.99138641357422
2023-02-13,132.79046630859375,44.565467834472656
2023-02-14,133.3772735595703,44.90806579589844
2023-02-15,133.9361114501953,44.41732025146485
2023-02-16,132.09194946289062,43.722862243652344
2023-02-17,132.48309326171875,43.97286605834961
2023-02-21,130.05213928222656,42.81543731689453
2023-02-22,129.05557250976562,42.60247802734375
2023-02-23,130.0894012451172,42.8246955871582
2023-02-24,131.26296997070312,43.16730117797851
2023-02-27,132.40858459472656,43.31544876098633
2023-02-28,133.51698303222656,43.306190490722656
2023-03-01,132.77186584472656,43.22285842895508
2023-03-02,131.3933563232422,42.40802001953125
2023-03-03,133.8057098388672,43.38026428222656
2023-03-06,133.02333068847656,43.17655944824219
2023-03-07,129.11141967773438,41.15800476074219
2023-03-08,128.34767150878906,40.59318923950195
2023-03-09,121.39938354492188,38.083892822265625
2023-03-10,124.48233032226562,38.29685592651367
2023-03-13,122.24695587158205,35.56533432006836
2023-03-14,125.38580322265624,37.19499206542969
2023-03-15,119.46205139160156,35.97274398803711
2023-03-16,121.78125,36.3894157409668
2023-03-17,117.18011474609376,34.963470458984375
2023-03-20,118.41889190673828,34.70420837402344
2023-03-21,121.59498596191406,35.63015365600586
2023-03-22,118.45613098144533,34.44495391845703
2023-03-23,118.13945770263672,33.898643493652344
